2024-06-05 14:53:36,630 INFO    StreamThr :13180 [internal.py:wandb_internal():85] W&B internal server running at pid: 13180, started at: 2024-06-05 14:53:36.629707
2024-06-05 14:53:36,632 DEBUG   HandlerThread:13180 [handler.py:handle_request():158] handle_request: status
2024-06-05 14:53:36,639 INFO    WriterThread:13180 [datastore.py:open_for_write():87] open: c:\Users\user\Desktop\analysis\training\wandb\run-20240605_145336-xjk86o0r\run-xjk86o0r.wandb
2024-06-05 14:53:36,639 DEBUG   SenderThread:13180 [sender.py:send():378] send: header
2024-06-05 14:53:36,691 DEBUG   SenderThread:13180 [sender.py:send():378] send: run
2024-06-05 14:53:37,656 INFO    SenderThread:13180 [dir_watcher.py:__init__():211] watching files in: c:\Users\user\Desktop\analysis\training\wandb\run-20240605_145336-xjk86o0r\files
2024-06-05 14:53:37,656 INFO    SenderThread:13180 [sender.py:_start_run_threads():1123] run started: xjk86o0r with start time 1717584816.633706
2024-06-05 14:53:37,676 DEBUG   HandlerThread:13180 [handler.py:handle_request():158] handle_request: check_version
2024-06-05 14:53:37,677 DEBUG   SenderThread:13180 [sender.py:send_request():405] send_request: check_version
2024-06-05 14:53:38,479 DEBUG   HandlerThread:13180 [handler.py:handle_request():158] handle_request: run_start
2024-06-05 14:53:38,522 DEBUG   HandlerThread:13180 [system_info.py:__init__():26] System info init
2024-06-05 14:53:38,522 DEBUG   HandlerThread:13180 [system_info.py:__init__():41] System info init done
2024-06-05 14:53:38,522 INFO    HandlerThread:13180 [system_monitor.py:start():194] Starting system monitor
2024-06-05 14:53:38,522 INFO    SystemMonitor:13180 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-05 14:53:38,522 INFO    HandlerThread:13180 [system_monitor.py:probe():214] Collecting system info
2024-06-05 14:53:38,522 INFO    SystemMonitor:13180 [interfaces.py:start():188] Started cpu monitoring
2024-06-05 14:53:38,522 INFO    SystemMonitor:13180 [interfaces.py:start():188] Started disk monitoring
2024-06-05 14:53:38,522 INFO    SystemMonitor:13180 [interfaces.py:start():188] Started gpu monitoring
2024-06-05 14:53:38,540 INFO    SystemMonitor:13180 [interfaces.py:start():188] Started memory monitoring
